city,historic_lon,historic_lat,business_lon,business_lat,dist_hist_to_bus_m,max_business_density,historic_method,business_method,utm_crs,core_radius_km,grid_cell_m,buffer_m,include_shops,business_points
"Paris, France",2.3500501,48.8529371,2.3459264437550424,48.85930393339069,769.7032614073385,314.0,"geocode:Notre-Dame Cathedral, Paris, France",max_business_density_top5avg,EPSG:32631,12.0,200.0,200.0,True,35659
"London, UK",-0.0984506,51.5137872,-0.12731311440750076,51.514629921485955,2005.9831488164189,2636.0,"geocode:St Paul's Cathedral, London, UK",max_business_density_top5avg,EPSG:32630,10.0,800.0,800.0,True,36171
"Berlin, Germany",13.3777034,52.5162699,13.36864656858874,52.50821503312125,1086.6828771746993,163.0,"geocode:Brandenburg Gate, Berlin, Germany",max_business_density_top5avg,EPSG:32633,12.0,200.0,200.0,True,32224
"Rome, Italy",12.4768334,41.898616,12.476464694196382,41.867781656128585,3425.416157301877,208.0,"geocode:Pantheon, Rome, Italy",max_business_density_top5avg,EPSG:32633,12.0,200.0,200.0,True,11174
"Madrid, Spain",-3.7038762,40.416863,-3.7049871119123976,40.415799406629176,151.07042796959493,190.0,"geocode:Puerta del Sol, Madrid, Spain",max_business_density_top5avg,EPSG:32630,12.0,200.0,200.0,True,18070
"Lisbon, Portugal",-9.1365543,38.7077934,-9.158383940877025,38.72880028783713,3005.863954498751,298.0,"geocode:Praça do Comércio, Lisbon, Portugal",max_business_density_top5avg,EPSG:32629,12.0,200.0,200.0,True,7719
"Amsterdam, Netherlands",4.8923511,52.3731162,4.892943413732154,52.369023164821265,457.1434450454361,187.0,"geocode:Dam Square, Amsterdam, Netherlands",max_business_density_top5avg,EPSG:32631,12.0,200.0,200.0,True,8969
"Brussels, Belgium",4.3525151,50.8467139,4.353096530325134,50.84709233293636,58.71257330496745,307.0,"geocode:Grand-Place, Brussels, Belgium",max_business_density_top5avg,EPSG:32631,12.0,200.0,200.0,True,4086
"Luxembourg City, Luxembourg",,,,,,,error:TypeError,error:TypeError,,12.0,200.0,200.0,True,0
"Copenhagen, Denmark",12.5800406,55.6756505,12.580474846889103,55.67943873028444,511.0894191721761,149.0,"geocode:Christiansborg Palace, Copenhagen, Denmark",max_business_density_top5avg,EPSG:32618,12.0,200.0,200.0,True,7714
"Stockholm, Sweden",18.0708198,59.3249967,18.0669516776491,59.334447405007104,1075.5676212696371,179.0,"geocode:Stortorget, Stockholm, Sweden",max_business_density_top5avg,EPSG:32633,12.0,200.0,200.0,True,6711
"Oslo, Norway",10.7372089,59.9075982,10.744288857606458,59.912405484570435,665.9727871863646,198.0,"geocode:Akershus Fortress, Oslo, Norway",max_business_density_top5avg,EPSG:32632,12.0,200.0,200.0,True,5375
"Helsinki, Finland",24.9522693,60.1695115,24.937334831372773,60.1659850085639,917.2842765434771,342.0,"geocode:Senate Square, Helsinki, Finland",max_business_density_top5avg,EPSG:32635,12.0,200.0,200.0,True,6933
"Dublin, Ireland",-6.2670108,53.3426096,-6.261653953786019,53.342089321328416,361.46307969734545,291.0,"geocode:Dublin Castle, Dublin, Ireland",max_business_density_top5avg,EPSG:32629,12.0,200.0,200.0,True,8029
"Reykjavik, Iceland",-21.9397458,64.1472129,-21.926510362280073,64.14504826498204,687.7015692627618,85.0,"geocode:Austurvöllur, Reykjavík, Iceland",max_business_density_top5avg,EPSG:32627,12.0,200.0,200.0,True,1373
"Vienna, Austria",16.3715166,48.2080838,16.371719749958935,48.20922120093211,127.3359952409492,235.0,"geocode:Stephansplatz, Vienna, Austria",max_business_density_top5avg,EPSG:32633,12.0,200.0,200.0,True,16862
"Prague, Czechia",14.4209714,50.0874453,14.418055718044872,50.075397444074675,1355.7288069125034,177.0,"geocode:Old Town Square, Prague, Czechia",max_business_density_top5avg,EPSG:32633,12.0,200.0,200.0,True,11073
"Warsaw, Poland",21.0137866,52.2479394,21.001230034728565,52.24760191312427,858.0693052866233,201.0,"geocode:Castle Square, Warsaw, Poland",max_business_density_top5avg,EPSG:32634,12.0,200.0,200.0,True,25627
"Budapest, Hungary",19.0398008,47.4959913,19.04328816335967,47.503869961458754,914.391528504637,175.0,"geocode:Buda Castle, Budapest, Hungary",max_business_density_top5avg,EPSG:32634,12.0,200.0,200.0,True,16782
"Bratislava, Slovakia",17.1004695,48.1425867,17.109624567286296,48.1429029860428,682.1530562465348,168.0,"geocode:Bratislava Castle, Bratislava, Slovakia",max_business_density_top5avg,EPSG:32633,12.0,200.0,200.0,True,7464
"Ljubljana, Slovenia",14.5085383,46.0487819,14.504853940763823,46.05121742406364,393.034252053253,90.0,"geocode:Ljubljana Castle, Ljubljana, Slovenia",max_business_density_top5avg,EPSG:32633,12.0,200.0,200.0,True,2159
"Zagreb, Croatia",15.9768439,45.8129597,15.976195237451524,45.81184587461553,133.62758008005162,218.0,"geocode:Ban Jelačić Square, Zagreb, Croatia",max_business_density_top5avg,EPSG:32633,12.0,200.0,200.0,True,6859
"Belgrade, Serbia",20.4636565,44.8170439,20.440606897726393,44.804951311678366,2264.203732544404,216.0,"geocode:Old Town, Belgrade, Serbia",max_business_density_top5avg,EPSG:32634,12.0,200.0,200.0,True,10368
"Sarajevo, Bosnia and Herzegovina",18.4308468,43.8590422,18.41453133400331,43.85779440530433,1319.1842324922632,147.0,"geocode:Baščaršija, Sarajevo",max_business_density_top5avg,EPSG:32634,12.0,200.0,200.0,True,1658
"Podgorica, Montenegro",19.2602111,42.4354871,19.241419028822317,42.438737287349646,1587.5964524738324,79.0,"geocode:Stara Varoš, Podgorica, Montenegro",max_business_density_top5avg,EPSG:32634,12.0,200.0,200.0,True,962
"Skopje, North Macedonia",21.4331801,41.9970981,21.433030658010868,41.997979471928325,98.63883738677369,99.0,"geocode:Stone Bridge, Skopje",max_business_density_top5avg,EPSG:32634,12.0,200.0,200.0,True,1887
"Tirana, Albania",19.8176642,41.3285484,19.806839282167196,41.32419514443525,1026.8625598104256,197.0,"geocode:Skanderbeg Square, Tirana, Albania",max_business_density_top5avg,EPSG:32634,12.0,200.0,200.0,True,3822
"Athens, Greece",,,,,,,error:TypeError,error:TypeError,,12.0,200.0,200.0,True,0
"Sofia, Bulgaria",23.3327934,42.6958124,23.319443661375033,42.69669988182799,1098.3820531608915,446.0,"geocode:Alexander Nevsky Cathedral, Sofia, Bulgaria",max_business_density_top5avg,EPSG:32634,12.0,200.0,200.0,True,20233
"Bucharest, Romania",26.1008803,44.4349679,26.09859957414399,44.44205252380465,807.6454508644804,190.0,"geocode:University Square, Bucharest, Romania",max_business_density_top5avg,EPSG:32635,12.0,200.0,200.0,True,10305
"Chișinău, Moldova",28.8340321,47.0257107,28.805127807629912,47.02608635054149,2197.316447619836,210.0,"geocode:Cathedral Park, Chișinău, Moldova",max_business_density_top5avg,EPSG:32635,12.0,200.0,200.0,True,8005
"Kyiv, Ukraine",30.5240622,50.4502431,30.570942345504733,50.43285088076743,3851.2999145905505,217.0,"geocode:Maidan Nezalezhnosti, Kyiv, Ukraine",max_business_density_top5avg,EPSG:32636,12.0,200.0,200.0,True,18846
"Minsk, Belarus",27.5459607,53.8955942,27.53637813765178,53.918935496270606,2672.17861138716,285.0,"geocode:Independence Square, Minsk, Belarus",max_business_density_top5avg,EPSG:32635,12.0,200.0,200.0,True,16592
"Moscow, Russia",37.6215013,55.7535908,37.6063342799468,55.69876526806805,6176.14887998661,411.0,"geocode:Red Square, Moscow, Russia",max_business_density_top5avg,EPSG:32637,10.0,800.0,800.0,True,14065
"Saint Petersburg, Russia",30.3153537,59.9390434,30.32731239236916,59.926645398790086,1534.4119990442418,384.0,"geocode:Palace Square, Saint Petersburg, Russia",max_business_density_top5avg,EPSG:32636,12.0,200.0,200.0,True,20452
"Istanbul, Turkey",28.9759773,41.0065157,28.962077526831585,41.01436314292529,1458.2301446218862,459.0,"geocode:Sultanahmet Square, Istanbul, Turkey",max_business_density_top5avg,EPSG:32635,12.0,200.0,200.0,True,22483
"Ankara, Turkey",32.8548669,39.9416575,32.77319187699034,39.956144888085525,7159.862164582099,145.0,"geocode:Ulus Square, Ankara, Turkey",max_business_density_top5avg,EPSG:32636,12.0,200.0,200.0,True,4824
